id,name,latitude,longitude,tzString
11,ACEH,4.36855,97.0253,WIB-7
12,SUMATERA UTARA,2.19235,99.38122,WIB-7
13,SUMATERA BARAT,-1.34225,100.0761,WIB-7
14,RIAU,0.50041,101.54758,WIB-7
15,JAMBI,-1.61157,102.7797,WIB-7
16,SUMATERA SELATAN,-3.12668,104.09306,WIB-7
17,BENGKULU,-3.51868,102.53598,WIB-7
18,LAMPUNG,-4.8555,105.0273,WIB-7
19,KEPULAUAN BANGKA BELITUNG,-2.75775,107.58394,WIB-7
21,KEPULAUAN RIAU,-0.15478,104.58037,WIB-7
31,DKI JAKARTA,6.1745,106.8227,WIB-7
32,JAWA BARAT,-6.88917,107.64047,WIB-7
33,JAWA TENGAH,-7.30324,110.00441,WIB-7
34,DI YOGYAKARTA,7.7956,110.3695,WIB-7
35,JAWA TIMUR,-6.96851,113.98005,WIB-7
36,BANTEN,-6.44538,106.13756,WIB-7
51,BALI,-8.23566,115.12239,WITA-8
52,NUSA TENGGARA BARAT,-8.12179,117.63696,WITA-8
53,NUSA TENGGARA TIMUR,-8.56568,120.69786,WITA-8
61,KALIMANTAN BARAT,-0.13224,111.09689,WIB-7
62,KALIMANTAN TENGAH,-1.49958,113.29033,WIB-7
63,KALIMANTAN SELATAN,-2.94348,115.37565,WITA-8
64,KALIMANTAN TIMUR,0.78844,116.242,WITA-8
65,KALIMANTAN UTARA,2.72594,116.911,WITA-8
71,SULAWESI UTARA,0.65557,124.09015,WITA-8
72,SULAWESI TENGAH,-1.69378,120.80886,WITA-8
73,SULAWESI SELATAN,-3.64467,119.94719,WITA-8
74,SULAWESI TENGGARA,-3.54912,121.72796,WITA-8
75,GORONTALO,0.71862,122.45559,WITA-8
76,SULAWESI BARAT,-2.49745,119.3919,WITA-8
81,MALUKU,-3.11884,129.42078,WIT-9
82,MALUKU UTARA,0.63012,127.97202,WIT-9
91,PAPUA BARAT,-1.38424,132.90253,WIT-9
94,PAPUA,-3.98857,138.34853,WIT-9
